Name,Category,Confidence,Stars,Language
gpt-neox,Cybersecurity or Security Tools,0.18363144993782043,6020,Python
TMRB,Cybersecurity or Security Tools,0.16961874067783356,167,JavaScript
universal-data-tool,Desktop Application Development,0.860280454158783,1827,JavaScript
DormitoryManager,Data Science or Data Analytics,0.1905452013015747,952,JavaScript
lock,Cybersecurity or Security Tools,0.22203055024147034,463,Other
nx,Machine Learning or Artificial Intelligence,0.1892973929643631,19333,TypeScript
keel,Cybersecurity or Security Tools,0.2493387758731842,2265,Go
HashMap,Data Science or Data Analytics,0.1545848846435547,169,C++
guava,Data Science or Data Analytics,0.17525839805603027,48325,Java
raster-functions,Data Science or Data Analytics,0.4367370903491974,184,Python
stable-diffusion-webui-colab,Machine Learning or Artificial Intelligence,0.20390012860298157,13772,Python
ST-P3,Data Science or Data Analytics,0.21149593591690063,211,Python
awesome-game-security,Game Development,0.6081737875938416,1962,Python
acme.sh,Cybersecurity or Security Tools,0.21358074247837067,33144,Other
CocoaPods,Machine Learning or Artificial Intelligence,0.2036941945552826,14269,Other
vimix-gtk-themes,Game Development,0.16660401225090027,1573,Other
jsdoc,Desktop Application Development,0.1804773211479187,14224,JavaScript
woocommerce-android,Mobile Application Development,0.29399415850639343,242,Other
portainer,Cybersecurity or Security Tools,0.22202453017234802,26606,Go
multi-subject-render,Data Science or Data Analytics,0.17200273275375366,337,Python
controller_configuration,Data Science or Data Analytics,0.19038105010986328,222,Other
awesome-ios,Mobile Application Development,0.2046784609556198,43974,Other
README-ecoleta,Machine Learning or Artificial Intelligence,0.19116351008415222,211,TypeScript
