antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'html'}),frozenset({'css'}),0.037333333333333336,0.025,0.010333333333333333,0.27678571428571425,11.07142857142857,1.0,0.0094,1.3481481481481479,0.9449557680278796,0.1987179487179487,0.25824175824175816,0.34505952380952376
frozenset({'ios'}),frozenset({'android'}),0.027333333333333334,0.043333333333333335,0.012333333333333333,0.4512195121951219,10.412757973733582,1.0,0.011148888888888889,1.743259259259259,0.9293666524646648,0.21142857142857144,0.4263618594374097,0.36791744840525326
frozenset({'android'}),frozenset({'ios'}),0.043333333333333335,0.027333333333333334,0.012333333333333333,0.2846153846153846,10.412757973733582,1.0,0.011148888888888889,1.3596415770609318,0.9449100668612864,0.21142857142857144,0.26451204723994304,0.36791744840525326
frozenset({'kubernetes'}),frozenset({'go'}),0.025,0.09866666666666667,0.01633333333333333,0.6533333333333332,6.62162162162162,1.0,0.013866666666666664,2.599999999999999,0.8707482993197279,0.15217391304347824,0.6153846153846152,0.40943693693693683
frozenset({'go'}),frozenset({'kubernetes'}),0.09866666666666667,0.025,0.01633333333333333,0.16554054054054052,6.62162162162162,1.0,0.013866666666666664,1.168421052631579,0.9419152276295133,0.15217391304347824,0.14414414414414412,0.40943693693693683
frozenset({'android'}),frozenset({'java'}),0.043333333333333335,0.07266666666666667,0.019,0.43846153846153846,6.033874382498236,1.0,0.01585111111111111,1.6514155251141553,0.8720581942661532,0.1958762886597938,0.39445888403472873,0.34996471418489766
frozenset({'java'}),frozenset({'android'}),0.07266666666666667,0.043333333333333335,0.019,0.26146788990825687,6.033874382498235,1.0,0.01585111111111111,1.2953623188405796,0.8996430688511357,0.1958762886597938,0.22801521593197582,0.34996471418489766
"frozenset({'typescript', 'javascript'})",frozenset({'react'}),0.03833333333333333,0.06533333333333333,0.015,0.391304347826087,5.989352262644189,1.0,0.012495555555555555,1.5355238095238093,0.8662430194492585,0.16917293233082709,0.34875643490665514,0.31044809228039044
frozenset({'react'}),"frozenset({'typescript', 'javascript'})",0.06533333333333333,0.03833333333333333,0.015,0.22959183673469388,5.989352262644188,1.0,0.012495555555555555,1.2482560706401766,0.8912664447614519,0.16917293233082709,0.19888232589396246,0.31044809228039044
frozenset({'pytorch'}),frozenset({'python'}),0.025666666666666667,0.209,0.024666666666666667,0.961038961038961,4.598272540856273,1.0,0.019302333333333335,20.302333333333326,0.8031409788166545,0.11746031746031746,0.9507445777989394,0.5395306447938026
frozenset({'python'}),frozenset({'pytorch'}),0.209,0.025666666666666667,0.024666666666666667,0.11802232854864435,4.598272540856273,1.0,0.019302333333333335,1.1047142857142858,0.9892882768988963,0.11746031746031746,0.094788568472779,0.5395306447938026
frozenset({'python'}),"frozenset({'deep-learning', 'pytorch'})",0.209,0.015333333333333332,0.014666666666666666,0.07017543859649122,4.576659038901602,1.0,0.011462,1.0589811320754716,0.9879898862199747,0.06995230524642289,0.055696112318711466,0.513348588863463
"frozenset({'deep-learning', 'pytorch'})",frozenset({'python'}),0.015333333333333332,0.209,0.014666666666666666,0.9565217391304348,4.576659038901602,1.0,0.011462,18.193000000000012,0.7936696005416385,0.06995230524642289,0.9450338042104106,0.513348588863463
frozenset({'python'}),frozenset({'python3'}),0.209,0.010666666666666666,0.01,0.04784688995215311,4.4856459330143545,1.0,0.007770666666666667,1.0390485762144053,0.982385166455963,0.04769475357710653,0.03758108822656986,0.49267344497607657
frozenset({'python3'}),frozenset({'python'}),0.010666666666666666,0.209,0.01,0.9375,4.4856459330143545,1.0,0.007770666666666667,12.656,0.7854447439353099,0.04769475357710653,0.9209860935524652,0.49267344497607657
frozenset({'typescript'}),frozenset({'react'}),0.12933333333333333,0.06533333333333333,0.037333333333333336,0.288659793814433,4.418262150220914,1.0,0.028883555555555558,1.313951690821256,0.8885911179173046,0.23728813559322037,0.23893701192699682,0.43004418262150224
frozenset({'react'}),frozenset({'typescript'}),0.06533333333333333,0.12933333333333333,0.037333333333333336,0.5714285714285715,4.418262150220914,1.0,0.028883555555555558,2.0315555555555562,0.8277460770328103,0.23728813559322037,0.5077663530956028,0.43004418262150224
frozenset({'data-science'}),frozenset({'python'}),0.012333333333333333,0.209,0.010666666666666666,0.8648648648648648,4.138109401267296,1.0,0.008088999999999999,5.853399999999998,0.7678134492068848,0.05063291139240506,0.8291591211945194,0.4579507737402474
frozenset({'python'}),frozenset({'data-science'}),0.209,0.012333333333333333,0.010666666666666666,0.051036682615629984,4.138109401267296,1.0,0.008088999999999999,1.04078487394958,0.958715233881163,0.05063291139240506,0.03918665131518392,0.4579507737402474
frozenset({'tensorflow'}),frozenset({'python'}),0.015333333333333332,0.209,0.013,0.8478260869565217,4.056584148117329,1.0,0.009795333333333333,5.1979999999999995,0.7652205614290922,0.061514195583596214,0.8076183147364371,0.4550135219471604
frozenset({'python'}),frozenset({'tensorflow'}),0.209,0.015333333333333332,0.013,0.06220095693779904,4.056584148117329,1.0,0.009795333333333333,1.0499761904761904,0.9525754481506693,0.061514195583596214,0.04759745118936937,0.4550135219471604
frozenset({'python'}),frozenset({'deep-learning'}),0.209,0.041,0.03233333333333333,0.1547049441786284,3.773291321429961,1.0,0.023764333333333332,1.1345150943396225,0.9291774733796446,0.14854517611026033,0.11856615659919541,0.47166141517874505
frozenset({'deep-learning'}),frozenset({'python'}),0.041,0.209,0.03233333333333333,0.7886178861788617,3.773291321429961,1.0,0.023764333333333332,3.742038461538461,0.7664018576051085,0.14854517611026033,0.732765974941671,0.47166141517874505
frozenset({'python'}),"frozenset({'machine-learning', 'deep-learning'})",0.209,0.021666666666666667,0.016666666666666666,0.07974481658692185,3.68052999631947,1.0,0.012138333333333334,1.063110918544194,0.9207332490518332,0.0778816199376947,0.05936437811269696,0.42448779290884553
"frozenset({'machine-learning', 'deep-learning'})",frozenset({'python'}),0.021666666666666667,0.209,0.016666666666666666,0.7692307692307692,3.68052999631947,1.0,0.012138333333333334,3.4276666666666658,0.7444293015332198,0.0778816199376947,0.7082563454244869,0.42448779290884553
frozenset({'nodejs'}),frozenset({'javascript'}),0.04,0.20766666666666667,0.028666666666666667,0.7166666666666667,3.451043338683788,1.0,0.02036,2.796470588235294,0.7398255813953488,0.1308980213089802,0.642406394615061,0.4273542001070091
frozenset({'javascript'}),frozenset({'nodejs'}),0.20766666666666667,0.04,0.028666666666666667,0.13804173354735153,3.451043338683788,1.0,0.02036,1.1137430167597764,0.8963810157419455,0.1308980213089802,0.10212680577849116,0.4273542001070091
frozenset({'docker'}),frozenset({'go'}),0.03333333333333333,0.09866666666666667,0.011333333333333334,0.34,3.445945945945946,1.0,0.008044444444444444,1.3656565656565658,0.7342799188640973,0.09392265193370165,0.26775147928994086,0.22743243243243244
frozenset({'go'}),frozenset({'docker'}),0.09866666666666667,0.03333333333333333,0.011333333333333334,0.11486486486486487,3.445945945945946,1.0,0.008044444444444444,1.092111959287532,0.787504350852767,0.09392265193370165,0.08434296365330848,0.22743243243243244
frozenset({'machine-learning'}),frozenset({'python'}),0.041,0.209,0.028333333333333332,0.6910569105691057,3.3064923950674916,1.0,0.01976433333333333,2.560342105263158,0.7273875973747164,0.12781954887218044,0.6094271941455192,0.4133115493834364
frozenset({'python'}),frozenset({'machine-learning'}),0.209,0.041,0.028333333333333332,0.13556618819776714,3.306492395067491,1.0,0.01976433333333333,1.1093966789667895,0.8818769985870454,0.12781954887218044,0.09860916391842245,0.4133115493834364
frozenset({'typescript'}),"frozenset({'javascript', 'react'})",0.12933333333333333,0.03833333333333333,0.015,0.11597938144329897,3.0255490811295385,1.0,0.010042222222222223,1.0878328474246841,0.7689297260507062,0.0982532751091703,0.0807411245510908,0.25364186463469296
"frozenset({'javascript', 'react'})",frozenset({'typescript'}),0.03833333333333333,0.12933333333333333,0.015,0.391304347826087,3.0255490811295385,1.0,0.010042222222222223,1.4303809523809523,0.6961679183516273,0.0982532751091703,0.3008855449763633,0.25364186463469296
frozenset({'nodejs'}),frozenset({'typescript'}),0.04,0.12933333333333333,0.015333333333333332,0.3833333333333333,2.9639175257731956,1.0,0.010159999999999999,1.411891891891892,0.6902173913043478,0.09956709956709957,0.29173047473200614,0.2509450171821306
frozenset({'typescript'}),frozenset({'nodejs'}),0.12933333333333333,0.04,0.015333333333333332,0.11855670103092783,2.9639175257731956,1.0,0.010159999999999999,1.0891228070175438,0.7610360210400159,0.09956709956709957,0.08182989690721648,0.2509450171821306
frozenset({'react'}),frozenset({'javascript'}),0.06533333333333333,0.20766666666666667,0.03833333333333333,0.5867346938775511,2.825367707275527,1.0,0.024765777777777775,1.9172510288065845,0.6912237176704088,0.1633522727272727,0.4784198913052811,0.3856626920431094
frozenset({'javascript'}),frozenset({'react'}),0.20766666666666667,0.06533333333333333,0.03833333333333333,0.18459069020866772,2.8253677072755266,1.0,0.024765777777777775,1.146254593175853,0.8153939017029137,0.1633522727272727,0.12759346313338202,0.3856626920431094
frozenset({'javascript'}),frozenset({'css'}),0.20766666666666667,0.025,0.014333333333333333,0.06902086677367576,2.7608346709470304,1.0,0.009141666666666666,1.0472844827586207,0.8049525002201328,0.06564885496183206,0.045149606947359755,0.3211771000535045
frozenset({'css'}),frozenset({'javascript'}),0.025,0.20766666666666667,0.014333333333333333,0.5733333333333333,2.76083467094703,1.0,0.009141666666666666,1.8570312499999997,0.654144305307096,0.06564885496183206,0.4615061001262094,0.3211771000535045
frozenset({'typescript'}),frozenset({'vue'}),0.12933333333333333,0.034666666666666665,0.011,0.08505154639175258,2.453409992069786,1.0,0.0065164444444444445,1.0550685446009391,0.6804028029142883,0.07189542483660132,0.05219428148316911,0.20117961934972245
frozenset({'vue'}),frozenset({'typescript'}),0.034666666666666665,0.12933333333333333,0.011,0.3173076923076923,2.453409992069786,1.0,0.0065164444444444445,1.2753427230046948,0.6136782186505944,0.07189542483660132,0.2158970432324184,0.20117961934972245
frozenset({'vue'}),frozenset({'javascript'}),0.034666666666666665,0.20766666666666667,0.016666666666666666,0.4807692307692308,2.3151006297073713,1.0,0.009467555555555555,1.5259753086419756,0.5884530386740332,0.07385524372230427,0.34468140189637875,0.28051302629954317
frozenset({'javascript'}),frozenset({'vue'}),0.20766666666666667,0.034666666666666665,0.016666666666666666,0.08025682182985554,2.3151006297073713,1.0,0.009467555555555555,1.0495683536940081,0.7169373159444679,0.07385524372230427,0.04722737068009897,0.28051302629954317
"frozenset({'typescript', 'react'})",frozenset({'javascript'}),0.037333333333333336,0.20766666666666667,0.015,0.40178571428571425,1.9347626691125888,1.0,0.0072471111111111096,1.3244975124378107,0.5018775007694675,0.06521739130434782,0.24499669451289136,0.23700842696629212
frozenset({'javascript'}),"frozenset({'typescript', 'react'})",0.20766666666666667,0.037333333333333336,0.015,0.07223113964686999,1.9347626691125888,1.0,0.0072471111111111096,1.03761476355248,0.6097695507876407,0.06521739130434782,0.03625118384370151,0.23700842696629212
frozenset({'html'}),frozenset({'javascript'}),0.037333333333333336,0.20766666666666667,0.013666666666666667,0.36607142857142855,1.7627837651914697,1.0,0.005913777777777777,1.2498779342723005,0.4494966556313762,0.059077809798270896,0.1999218703047058,0.21594101123595505
frozenset({'javascript'}),frozenset({'html'}),0.20766666666666667,0.037333333333333336,0.013666666666666667,0.06581059390048154,1.7627837651914695,1.0,0.005913777777777777,1.0304833906071018,0.5461280359543182,0.059077809798270896,0.029581641863381095,0.21594101123595505
frozenset({'hacktoberfest'}),frozenset({'typescript'}),0.10433333333333333,0.12933333333333333,0.02033333333333333,0.194888178913738,1.5068673627350877,1.0,0.006839555555555555,1.0814232804232804,0.3755544302561819,0.0953125,0.0752927016620268,0.1760523368795494
frozenset({'typescript'}),frozenset({'hacktoberfest'}),0.12933333333333333,0.10433333333333333,0.02033333333333333,0.15721649484536082,1.5068673627350877,1.0,0.006839555555555555,1.0627482161060142,0.3863379609871212,0.0953125,0.05904335114852344,0.1760523368795494
frozenset({'typescript'}),frozenset({'javascript'}),0.12933333333333333,0.20766666666666667,0.03833333333333333,0.2963917525773196,1.427247604706194,1.0,0.01147511111111111,1.1261001221001221,0.34381783074771954,0.1283482142857143,0.11197949420780764,0.24049122139299367
frozenset({'javascript'}),frozenset({'typescript'}),0.20766666666666667,0.12933333333333333,0.03833333333333333,0.18459069020866772,1.4272476047061937,1.0,0.01147511111111111,1.067766404199475,0.3778090761098205,0.1283482142857143,0.06346557068376844,0.24049122139299367
frozenset({'go'}),frozenset({'hacktoberfest'}),0.09866666666666667,0.10433333333333333,0.014,0.14189189189189189,1.3599861842673344,1.0,0.0037057777777777783,1.043769028871391,0.29367427444350525,0.07407407407407407,0.041933634415956704,0.13803859770313442
frozenset({'hacktoberfest'}),frozenset({'go'}),0.10433333333333333,0.09866666666666667,0.014,0.134185303514377,1.3599861842673344,1.0,0.0037057777777777783,1.0410233702337022,0.2955322806457902,0.07407407407407407,0.03940677165056619,0.13803859770313442
